Classifier,Accuracy,Method
DT,0.839388483,AAE (Proposed)
NB,0.849622936,AAE (Proposed)
GB,0.839621327,AAE (Proposed)
KN,0.854514302,AAE (Proposed)
LDA,0.846303812,AAE (Proposed)
LR,0.851193839,AAE (Proposed)
MLP,0.849499173,AAE (Proposed)
QDA,0.833009526,AAE (Proposed)
RF,0.849443833,AAE (Proposed)
SVC,0.854473431,AAE (Proposed)
VC,0.851180522,AAE (Proposed)
XGB,0.847858688,AAE (Proposed)
DT,0.753736615,PCA
NB,0.710472338,PCA
GB,0.839539354,PCA
KN,0.800137319,PCA
LDA,0.841274672,PCA
LR,0.856231565,PCA
MLP,0.864484286,PCA
QDA,0.763384783,PCA
RF,0.821544982,PCA
SVC,0.502520441,PCA
VC,0.864457867,PCA
XGB,0.790163958,PCA
DT,0.774698501,VAE
NB,0.849511829,VAE
GB,0.826188391,VAE
KN,0.836298391,VAE
LDA,0.846299758,VAE
LR,0.849485398,VAE
MLP,0.844443382,VAE
QDA,0.816545417,VAE
RF,0.842802908,VAE
SVC,0.741605395,VAE
VC,0.849485398,VAE
XGB,0.809727449,VAE
DT,0.776870101,AE
NB,0.824594203,AE
GB,0.837817784,AE
KN,0.806641389,AE
LDA,0.832762907,AE
LR,0.839649344,AE
MLP,0.839717317,AE
QDA,0.769696892,AE
RF,0.856207382,AE
SVC,0.502520441,AE
VC,0.846178704,AE
XGB,0.826135756,AE
DT,0.756745202,DAE
NB,0.803209125,DAE
GB,0.827940633,DAE
KN,0.810029836,DAE
LDA,0.829633057,DAE
LR,0.851316231,DAE
MLP,0.85132957,DAE
QDA,0.659424406,DAE
RF,0.833091515,DAE
SVC,0.504159785,DAE
VC,0.849608925,DAE
XGB,0.798196022,DAE
