Classifier,AUC,Method
DT,0.847653599,AAE (Proposed)
NB,0.954855911,AAE (Proposed)
GB,0.935249701,AAE (Proposed)
KN,0.901797375,AAE (Proposed)
LDA,0.942246196,AAE (Proposed)
LR,0.967289315,AAE (Proposed)
MLP,0.9646908,AAE (Proposed)
QDA,0.920429012,AAE (Proposed)
RF,0.963209116,AAE (Proposed)
SVC,0.966842232,AAE (Proposed)
VC,0.964492001,AAE (Proposed)
XGB,0.940914777,AAE (Proposed)
DT,0.791098601,PCA
NB,0.919806712,PCA
GB,0.947004649,PCA
KN,0.841333945,PCA
LDA,0.952886432,PCA
LR,0.972522922,PCA
MLP,0.971902183,PCA
QDA,0.822266525,PCA
RF,0.95407046,PCA
SVC,0.911284185,PCA
VC,0.968348976,PCA
XGB,0.927292824,PCA
DT,0.794796607,VAE
NB,0.966968445,VAE
GB,0.954982207,VAE
KN,0.873404354,VAE
LDA,0.95363347,VAE
LR,0.965020919,VAE
MLP,0.96736337,VAE
QDA,0.942402546,VAE
RF,0.959560767,VAE
SVC,0.932980503,VAE
VC,0.96482982,VAE
XGB,0.93342438,VAE
DT,0.813045073,AE
NB,0.953435819,AE
GB,0.953101885,AE
KN,0.860574433,AE
LDA,0.949007155,AE
LR,0.96738091,AE
MLP,0.966478992,AE
QDA,0.917625177,AE
RF,0.961018755,AE
SVC,0.898905424,AE
VC,0.963799657,AE
XGB,0.941867158,AE
DT,0.80156567,DAE
NB,0.944553731,DAE
GB,0.952923342,DAE
KN,0.870360912,DAE
LDA,0.946805835,DAE
LR,0.968190793,DAE
MLP,0.965392221,DAE
QDA,0.87448019,DAE
RF,0.955596555,DAE
SVC,0.888868625,DAE
VC,0.96489829,DAE
XGB,0.935335233,DAE
